date,flag,vessels_fishing,fishing_hours
2014-08-14,ALB,1,6.98555555556
2014-09-20,ALB,1,5.78194444444
2014-10-12,ALB,1,6.66013888889
2014-10-13,ALB,1,6.58652777778
2014-10-28,ALB,1,6.48069444444
2014-10-29,ALB,1,12.2941666667
2014-10-30,ALB,1,5.63805555556
2014-11-02,ALB,1,7.80722222222
2014-11-03,ALB,1,6.74333333333
2014-11-08,ALB,1,8.87402777778
2014-11-09,ALB,1,20.1329166667
2014-11-10,ALB,1,21.0484722222
2014-11-22,ALB,1,11.7506944444
2014-11-24,ALB,1,7.29916666667
2014-11-25,ALB,1,6.96402777778
2015-01-05,ALB,1,5.55902777778
2015-01-08,ALB,1,0.600277777778
2015-01-11,ALB,1,4.55111111111
2015-02-24,ALB,1,0.517638888889
2015-02-26,ALB,1,4.19347222222
2015-02-27,ALB,1,1.77055555556
2015-03-09,ALB,1,5.32347222222
2015-03-10,ALB,1,5.99611111111
2015-03-12,ALB,1,1.24569444444
2015-03-14,ALB,1,14.8693055556
2015-03-15,ALB,1,4.96305555556
2015-03-16,ALB,1,0.763888888889
2015-03-17,ALB,1,9.18611111111
2015-03-28,ALB,1,4.86680555556
2015-04-02,ALB,1,10.5959722222
2015-04-03,ALB,1,4.10708333333
2015-04-11,ALB,1,22.6177777778
2015-04-12,ALB,1,7.97944444444
2015-04-23,ALB,1,20.0594444444
2015-04-25,ALB,1,6.75597222222
2015-04-26,ALB,1,23.8569444444
2015-04-27,ALB,1,19.0948611111
2015-04-30,ALB,1,20.95125
2015-05-01,ALB,1,25.6870833333
2015-05-02,ALB,1,8.67458333333
2015-05-05,ALB,1,23.6844444444
2015-05-06,ALB,2,31.9558333333
2015-05-07,ALB,1,21.8201388889
2015-05-09,ALB,2,30.5756944444
2015-05-10,ALB,2,25.62625
2015-05-13,ALB,2,24.4729166667
2015-05-14,ALB,2,25.3863888889
2015-05-15,ALB,1,3.66847222222
2015-05-17,ALB,1,8.83361111111
2015-05-18,ALB,1,11.39625
2015-05-19,ALB,1,9.85569444444
2015-05-20,ALB,1,4.21875
2015-05-21,ALB,1,3.115
2015-05-22,ALB,1,4.73638888889
2015-05-23,ALB,1,4.01805555556
2015-05-24,ALB,1,14.1156944444
2015-05-25,ALB,1,9.91944444444
2015-05-26,ALB,2,20.2815277778
2015-05-27,ALB,1,5.81458333333
2015-05-28,ALB,1,0.602222222222
2015-06-01,ALB,2,21.9794444444
2015-06-02,ALB,2,14.3081944444
2015-06-03,ALB,1,3.95166666667
2015-06-04,ALB,1,0.0
2015-06-09,ALB,1,4.47347222222
2015-06-10,ALB,1,6.60736111111
2015-06-11,ALB,1,6.78444444444
2015-06-12,ALB,1,6.86513888889
2015-06-13,ALB,1,7.85888888889
2015-06-14,ALB,1,2.88319444444
2015-06-15,ALB,1,4.21027777778
2015-06-16,ALB,1,7.60111111111
2015-06-17,ALB,1,3.89847222222
2015-06-19,ALB,1,4.16263888889
2015-06-20,ALB,1,23.4302777778
2015-06-22,ALB,1,2.60486111111
2015-06-23,ALB,1,4.07638888889
2015-06-29,ALB,1,0.261527777778
2015-06-30,ALB,1,28.7884722222
2015-07-01,ALB,1,19.2054166667
2015-07-02,ALB,2,15.3056944444
2015-07-03,ALB,1,5.13333333333
2015-07-04,ALB,1,4.27847222222
2015-07-05,ALB,1,6.24958333333
2015-07-06,ALB,2,30.1444444444
2015-07-07,ALB,2,29.0148611111
2015-07-08,ALB,1,8.27902777778
2015-07-09,ALB,1,8.08972222222
2015-07-10,ALB,2,34.8693055556
2015-07-11,ALB,1,16.9447222222
2015-07-12,ALB,2,28.5472222222
2015-07-13,ALB,2,23.3166666667
2015-07-14,ALB,1,3.96041666667
2015-07-15,ALB,1,5.50486111111
2015-07-16,ALB,2,34.0776388889
2015-07-17,ALB,2,30.9040277778
2015-07-18,ALB,2,30.7116666667
2015-07-19,ALB,2,23.8848611111
2015-07-20,ALB,1,9.01055555556
2015-07-21,ALB,1,6.15916666667
2015-07-22,ALB,1,5.62888888889
2015-07-23,ALB,1,7.59958333333
2015-07-24,ALB,1,7.24180555556
2015-07-25,ALB,1,7.38375
2015-07-26,ALB,2,16.3548611111
2015-07-27,ALB,1,24.6679166667
2015-07-28,ALB,1,22.4308333333
2015-07-29,ALB,1,16.8922222222
2015-08-13,ALB,1,4.70986111111
2015-08-14,ALB,1,5.56694444444
2015-08-15,ALB,1,5.26652777778
2015-08-16,ALB,1,5.95722222222
2015-08-18,ALB,1,4.65180555556
2015-08-19,ALB,1,6.51125
2015-08-20,ALB,1,1.84555555556
2015-08-21,ALB,1,1.09166666667
2015-08-22,ALB,1,2.38416666667
2015-08-23,ALB,1,4.60277777778
2015-08-24,ALB,1,9.04208333333
2015-08-25,ALB,1,7.39430555556
2015-08-26,ALB,1,5.76513888889
2015-08-27,ALB,1,4.59083333333
2015-09-02,ALB,1,5.56611111111
2015-09-03,ALB,1,10.2672222222
2015-09-04,ALB,1,8.67486111111
2015-09-05,ALB,1,0.515833333333
2015-09-10,ALB,1,11.2643055556
2015-09-11,ALB,1,11.6647222222
2015-09-12,ALB,1,6.45111111111
2015-09-13,ALB,1,10.3080555556
2015-09-14,ALB,1,10.57375
2015-09-15,ALB,1,10.4925
2015-09-16,ALB,1,10.6547222222
2015-09-17,ALB,1,10.6998611111
2015-09-18,ALB,2,30.4429166667
2015-09-19,ALB,2,31.2715277778
2015-09-20,ALB,2,24.6172222222
2015-09-22,ALB,1,3.31555555556
2015-09-23,ALB,1,9.16444444444
2015-09-24,ALB,1,1.57694444444
2015-09-26,ALB,1,5.72527777778
2015-10-01,ALB,1,6.08569444444
2015-10-02,ALB,1,1.93375
2015-10-03,ALB,1,9.67166666667
2015-10-04,ALB,1,6.90138888889
2015-10-05,ALB,2,20.0279166667
2015-10-06,ALB,1,11.3475
2015-10-07,ALB,1,4.01777777778
2015-10-08,ALB,2,16.8015277778
2015-10-09,ALB,1,12.4118055556
2015-10-10,ALB,1,1.69930555556
2015-10-12,ALB,2,10.3490277778
2015-10-13,ALB,2,38.2334722222
2015-10-14,ALB,2,21.94375
2015-10-16,ALB,2,18.6311111111
2015-10-17,ALB,2,44.1633333333
2015-10-18,ALB,2,28.7045833333
2015-10-19,ALB,2,32.6198611111
2015-10-20,ALB,1,5.83291666667
2015-10-21,ALB,1,3.33611111111
2015-10-25,ALB,2,20.9909722222
2015-10-26,ALB,2,26.60875
2015-10-27,ALB,1,25.4795833333
2015-10-28,ALB,1,2.01555555556
2015-10-29,ALB,1,2.57277777778
2015-11-02,ALB,1,9.11041666667
2015-11-03,ALB,1,8.33013888889
2015-11-04,ALB,1,14.6825
2015-11-05,ALB,1,18.4794444444
2015-11-07,ALB,2,24.2159722222
2015-11-08,ALB,2,37.7629166667
2015-11-09,ALB,2,24.0018055556
2015-11-10,ALB,2,22.2748611111
2015-11-11,ALB,1,13.9705555556
2015-11-12,ALB,2,29.0590277778
2015-11-13,ALB,2,37.8255555556
2015-11-14,ALB,1,14.8436111111
2015-11-15,ALB,2,4.19916666667
2015-11-16,ALB,1,1.55944444444
2015-11-17,ALB,2,23.6086111111
2015-11-18,ALB,1,11.0065277778
2015-11-19,ALB,1,13.2238888889
2015-11-20,ALB,1,6.85805555556
2015-11-23,ALB,2,11.3401388889
2015-11-24,ALB,2,25.5797222222
2015-11-25,ALB,1,1.21763888889
2015-11-29,ALB,1,0.544027777778
2015-12-02,ALB,1,0.521944444444
2015-12-03,ALB,1,7.00666666667
2015-12-04,ALB,2,20.8548611111
2015-12-05,ALB,2,12.0001388889
2015-12-06,ALB,1,13.0086111111
2015-12-07,ALB,1,13.2463888889
2015-12-08,ALB,1,14.6433333333
2015-12-09,ALB,1,13.4043055556
2015-12-10,ALB,1,6.86638888889
2015-12-12,ALB,1,5.595
2015-12-13,ALB,1,16.4511111111
2015-12-14,ALB,1,4.21541666667
2015-12-15,ALB,1,10.1501388889
2015-12-16,ALB,1,1.05638888889
2015-12-17,ALB,1,6.64319444444
2015-12-18,ALB,1,14.7705555556
2015-12-19,ALB,1,13.5318055556
2015-12-20,ALB,1,13.9818055556
2015-12-21,ALB,1,11.5483333333
2015-12-22,ALB,1,12.7090277778
2015-12-27,ALB,1,3.65555555556
2015-12-28,ALB,1,5.48583333333
2015-12-29,ALB,1,3.71
2016-01-01,ALB,1,8.15347222222
2016-01-02,ALB,1,6.90416666667
2016-01-08,ALB,1,13.3123611111
2016-01-09,ALB,1,1.6575
2016-01-14,ALB,1,3.01722222222
2016-01-19,ALB,1,9.25986111111
2016-01-20,ALB,1,6.19888888889
2016-01-21,ALB,1,3.71333333333
2016-01-23,ALB,1,1.02166666667
2016-01-24,ALB,1,5.0
2016-01-25,ALB,1,0.325138888889
2016-01-27,ALB,1,4.50944444444
2016-01-28,ALB,1,5.97777777778
2016-01-29,ALB,1,11.7131944444
2016-01-30,ALB,1,7.05347222222
2016-02-01,ALB,1,7.51916666667
2016-02-02,ALB,1,5.37486111111
2016-02-21,ALB,1,0.560555555556
2016-02-22,ALB,1,5.69347222222
2016-03-07,ALB,1,1.32194444444
2016-03-08,ALB,2,6.38638888889
2016-03-09,ALB,1,11.8288888889
2016-03-10,ALB,1,3.64597222222
2016-03-11,ALB,1,6.41472222222
2016-03-12,ALB,1,4.23736111111
2016-03-15,ALB,2,6.56472222222
2016-03-16,ALB,1,12.3009722222
2016-03-17,ALB,2,6.12486111111
2016-03-18,ALB,1,5.3075
2016-03-19,ALB,1,2.37763888889
2016-03-26,ALB,1,5.96305555556
2016-03-27,ALB,1,7.78791666667
2016-03-29,ALB,1,3.73166666667
2016-04-01,ALB,1,6.33888888889
2016-04-02,ALB,2,18.4731944444
2016-04-03,ALB,2,32.7626388889
2016-04-04,ALB,2,29.4377777778
2016-04-05,ALB,2,31.0020833333
2016-04-06,ALB,2,16.1861111111
2016-04-07,ALB,1,9.27736111111
2016-04-12,ALB,2,11.11125
2016-04-13,ALB,2,29.7844444444
2016-04-15,ALB,1,6.88458333333
2016-04-16,ALB,1,3.38361111111
2016-04-17,ALB,1,3.02944444444
2016-04-20,ALB,1,3.19972222222
2016-04-22,ALB,1,6.89444444444
2016-04-23,ALB,1,3.45458333333
2016-05-07,ALB,1,1.59777777778
2016-05-08,ALB,1,2.13
2016-05-09,ALB,1,1.84194444444
2016-05-16,ALB,1,0.7625
2016-05-17,ALB,1,5.84583333333
2016-05-18,ALB,1,4.25
2016-05-22,ALB,1,1.06861111111
2016-05-25,ALB,1,4.0
2016-05-26,ALB,1,6.99208333333
2016-05-27,ALB,2,19.8227777778
2016-05-28,ALB,2,22.4154166667
2016-05-30,ALB,1,5.79097222222
2016-05-31,ALB,1,4.60180555556
2016-06-01,ALB,2,16.71875
2016-06-02,ALB,2,8.23041666667
2016-06-03,ALB,2,31.0234722222
2016-06-04,ALB,2,29.47
2016-06-05,ALB,2,29.5591666667
